for_Plot_SP_Col,For_type.x,PLOT.x,Species.x.x,Coll_No.x.x,Termi.assum.x,n.x,for_Plot.x,for_Plot_SP.x,n_absence,Termi.assum.y,n.y,n_presence
OC_271_Castanopsis_mekongensis_Coll_2,OC,271,Castanopsis_mekongensis,Coll_2,0,5,OC_271,OC_271_Castanopsis_mekongensis,5,1,0,0
OC_271_Castanopsis_mekongensis_Coll_3,OC,271,Castanopsis_mekongensis,Coll_3,0,5,OC_271,OC_271_Castanopsis_mekongensis,5,1,0,0
OC_271_Castanopsis_mekongensis_Coll_4,OC,271,Castanopsis_mekongensis,Coll_4,0,5,OC_271,OC_271_Castanopsis_mekongensis,5,1,0,0
OC_271_Castanopsis_mekongensis_Coll_5,OC,271,Castanopsis_mekongensis,Coll_5,0,5,OC_271,OC_271_Castanopsis_mekongensis,5,1,0,0
OC_271_Castanopsis_mekongensis_Coll_6,OC,271,Castanopsis_mekongensis,Coll_6,0,3,OC_271,OC_271_Castanopsis_mekongensis,3,1,2,2
OC_271_Litsea_cubeba_Coll_1,OC,271,Litsea_cubeba,Coll_1,0,4,OC_271,OC_271_Litsea_cubeba,4,1,1,1
OC_271_Litsea_cubeba_Coll_2,OC,271,Litsea_cubeba,Coll_2,0,5,OC_271,OC_271_Litsea_cubeba,5,1,0,0
OC_271_Litsea_cubeba_Coll_3,OC,271,Litsea_cubeba,Coll_3,0,5,OC_271,OC_271_Litsea_cubeba,5,1,0,0
OC_271_Litsea_cubeba_Coll_4,OC,271,Litsea_cubeba,Coll_4,0,3,OC_271,OC_271_Litsea_cubeba,3,1,1,1
OC_271_Litsea_cubeba_Coll_5,OC,271,Litsea_cubeba,Coll_5,0,4,OC_271,OC_271_Litsea_cubeba,4,1,1,1
OC_271_Litsea_cubeba_Coll_6,OC,271,Litsea_cubeba,Coll_6,0,3,OC_271,OC_271_Litsea_cubeba,3,1,2,2
OC_372_Castanopsis_mekongensis_Coll_1,OC,372,Castanopsis_mekongensis,Coll_1,0,5,OC_372,OC_372_Castanopsis_mekongensis,5,1,0,0
OC_372_Castanopsis_mekongensis_Coll_2,OC,372,Castanopsis_mekongensis,Coll_2,0,5,OC_372,OC_372_Castanopsis_mekongensis,5,1,0,0
OC_372_Castanopsis_mekongensis_Coll_3,OC,372,Castanopsis_mekongensis,Coll_3,0,5,OC_372,OC_372_Castanopsis_mekongensis,5,1,0,0
OC_372_Castanopsis_mekongensis_Coll_4,OC,372,Castanopsis_mekongensis,Coll_4,0,5,OC_372,OC_372_Castanopsis_mekongensis,5,1,0,0
OC_372_Castanopsis_mekongensis_Coll_5,OC,372,Castanopsis_mekongensis,Coll_5,0,5,OC_372,OC_372_Castanopsis_mekongensis,5,1,0,0
